subject_id,group,message_order,message_id,date,message,annotator_1_label,annotator_1_dimension,annotator_2_label,annotator_2_dimension,annotator_3_label,annotator_3_dimension,final_label,final_dimension,notes
subject100,bsf,1,3667480832,2021-03-04 00:35:08,"Hola , estoy realmente mal , no se que hacer con mi vifa",,,,,,,,,
subject100,bsf,2,47762763267,2021-03-04 00:36:08,Que tengo problemas muy severos,,,,,,,,,
subject100,bsf,3,22878917928,2021-03-04 00:36:15,E igual me voy a tomar por culo,,,,,,,,,
subject100,bsf,4,32189413433,2021-03-04 00:37:22,Vivi ahi tiene toda la razon Mtr,,,,,,,,,
subject100,bsf,5,45180833015,2021-03-04 00:37:32,No te pases de listilla,,,,,,,,,
subject100,bsf,6,94091960843,2021-03-04 00:37:40,Por que ls cosas no pueden acabar bien,,,,,,,,,
subject100,bsf,7,23768557973,2021-03-04 00:42:00,May en este tipo de grupos diciendo lo que estas diciendo puede ser realmente grave asi que por favor,,,,,,,,,
subject100,bsf,8,67207818570,2021-03-04 00:42:48,Me vais a cuartar hasta tal grado ?,,,,,,,,,
subject100,bsf,9,22331255181,2021-03-04 00:45:03,Campeon ? Tu quien te crees que eres elio ? De donde eres ?,,,,,,,,,
subject100,bsf,10,9793208082,2021-03-04 00:47:06,O no ves las tonterias que dice,,,,,,,,,
subject100,bsf,11,33186558658,2021-03-04 00:47:12,Eso es por que es un desorientao,,,,,,,,,
subject111,control,1,8123659914,2022-04-06 10:09:40,Buenos dias a tod @s ! ! ! Buen dia,,,,,,,,,
subject111,control,2,20146311181,2022-04-09 19:28:31,"Porque formas parte df esta familia , de este grupo , en el que cada uno tiene sus problemas , nos escuchamos aconsejamos y sinceramente me entiendo mejor que con gente de mi alrededor . Porque vivimos un dolor comun cada uno con sus problemas , miedos , ansiedades … . pero nos entendemos",,,,,,,,,
subject111,control,3,64153515918,2022-04-10 12:19:59,"Si hay , estamos todos aqui",,,,,,,,,
subject111,control,4,43687311470,2022-04-10 16:03:37,"Yo tb estoy fuera , nos separa la distancia",,,,,,,,,
subject111,control,5,60157440368,2022-04-10 16:05:03,Es una pena no estar mas cerca unos de otros,,,,,,,,,
subject111,control,6,10524235610,2022-04-10 16:07:54,"Pero es una suerte habernos conocido , y poder apoyarnos cara sonriendo con ojos sonrientes",,,,,,,,,
subject111,control,7,67913648611,2022-04-12 12:54:35,"Animo , estamos juntos contigo , en situaciones asi no nos deja ver depresion mas alla de nuestro dolor nos ciega pero hay mucho por lo que vivir y luchar …",,,,,,,,,
subject111,control,8,21662852688,2022-04-16 01:20:29,"En mi opinion , hay mucha gente falsa , solo muestra una fachada que no es real y hay mucho postureo , a mi eso me da asco . Lo mejor es la gente autentica de verdad con sus fallos y virtudes",,,,,,,,,
